timestamp,run_key,model,task,language,n,n_correct,accuracy,mean_completion_tokens,median_completion_tokens,std_completion_tokens,p10_completion_tokens,p90_completion_tokens,mean_total_tokens,mean_prompt_tokens,mean_latency_s,median_latency_s,p90_latency_s,mean_response_chars,mean_fertility,n_truncated,truncation_rate,avg_cost_per_attempt_usd,ceff_usd
2026-06-17T11:21:18.943854+00:00,llama4-scout__commonsense__zh,llama4-scout,commonsense,zh,500,476,0.952,273.83,264.0,81.26,186.0,371.2,453.29,179.46,1.47,1.169,2.58,828.7,4.9028,0,0.0,0.00011284,0.00011853
2026-06-17T12:09:40.486817+00:00,llama3.1-8b__math__hi,llama3.1-8b,math,hi,500,311,0.622,961.33,401.0,1515.0,231.9,5000.0,1238.23,276.9,9.625,1.102,39.878,1840.0,2.3854,61,0.122,9.075e-05,0.0001459
2026-06-17T13:39:15.096117+00:00,gpt-oss-20b__math__hi,gpt-oss-20b,math,hi,500,409,0.818,417.15,344.0,354.39,219.9,621.1,698.67,281.52,2.504,0.93,6.033,522.1,3.8333,1,0.002,0.00014626,0.0001788
2026-06-17T16:54:53.173265+00:00,llama3.1-8b__math__fi,llama3.1-8b,math,fi,500,238,0.476,827.48,282.0,1502.6,169.9,5000.0,1093.38,265.9,8.781,0.888,40.408,1985.6,2.6573,57,0.114,7.949e-05,0.000167
2026-06-17T17:11:57.414099+00:00,llama3.1-8b__math__ko,llama3.1-8b,math,ko,500,316,0.632,466.11,247.5,978.32,150.0,416.3,699.01,232.9,4.52,0.726,6.622,795.6,2.5704,22,0.044,4.893e-05,7.743e-05
2026-06-17T17:28:18.049419+00:00,llama3.1-8b__math__sw,llama3.1-8b,math,sw,500,233,0.466,515.04,292.5,969.94,186.9,496.4,782.94,267.9,4.988,0.781,11.681,1282.1,2.2189,22,0.044,5.46e-05,0.00011716
2026-06-17T17:41:07.765243+00:00,llama3.1-8b__math__es,llama3.1-8b,math,es,500,300,0.6,369.57,230.5,763.1,153.0,368.0,607.47,237.9,4.133,0.588,7.79,1258.5,1.6073,13,0.026,4.146e-05,6.91e-05
2026-06-17T18:46:46.861147+00:00,llama4-scout__commonsense__ar,llama4-scout,commonsense,ar,500,468,0.936,305.84,303.0,100.09,180.0,429.3,509.3,203.46,2.537,1.106,1.879,881.1,2.0584,0,0.0,0.00012637,0.00013501
2026-06-18T04:51:37.323197+00:00,llama3.3-70b__math__ar,llama3.3-70b,math,ar,500,464,0.928,231.83,205.5,230.28,143.0,315.1,471.73,239.9,2.287,1.328,3.068,556.1,2.1129,1,0.002,0.00032469,0.00034988
2026-06-18T05:00:14.207777+00:00,llama3.1-8b__math__tr,llama3.1-8b,math,tr,500,267,0.534,912.62,251.5,1643.74,155.9,5000.0,1139.52,226.9,10.307,0.862,42.242,3004.4,2.0626,69,0.138,8.435e-05,0.00015797
2026-06-18T05:11:30.023819+00:00,llama3.1-8b__math__de,llama3.1-8b,math,de,500,362,0.724,327.61,258.5,525.69,175.9,389.4,569.51,241.9,3.122,0.626,7.06,1040.4,1.8335,6,0.012,3.83e-05,5.291e-05
2026-06-18T05:27:43.929895+00:00,llama3.1-8b__math__fr,llama3.1-8b,math,fr,500,386,0.772,515.69,249.5,1065.58,167.9,432.2,755.59,239.9,4.599,0.608,13.69,1731.7,1.6364,26,0.052,5.325e-05,6.898e-05
2026-06-18T05:35:04.006030+00:00,llama3.1-8b__commonsense__en,llama3.1-8b,commonsense,en,500,444,0.888,256.95,245.0,220.11,178.9,322.1,426.97,170.02,2.483,0.592,5.589,1284.6,1.2241,1,0.002,2.906e-05,3.272e-05
2026-06-18T05:56:04.053945+00:00,llama3.1-8b__commonsense__zh,llama3.1-8b,commonsense,zh,500,413,0.826,260.87,244.0,309.6,150.0,335.1,472.89,212.02,3.1,0.667,4.847,355.4,24.1139,2,0.004,3.147e-05,3.81e-05
2026-06-18T06:06:20.727508+00:00,gpt-oss-120b__math__fi,gpt-oss-120b,math,fi,500,466,0.932,367.79,332.0,165.79,227.0,542.0,649.31,281.52,4.989,1.528,10.696,524.8,4.6789,0,0.0,0.0002629,0.00028208
2026-06-18T06:23:55.900077+00:00,llama4-scout__commonsense__hi,llama4-scout,commonsense,hi,500,468,0.936,394.56,382.5,91.77,286.0,509.3,606.02,211.46,1.451,1.393,1.957,1294.3,1.6184,0,0.0,0.00015741,0.00016818
2026-06-18T06:28:31.238275+00:00,llama4-scout__commonsense__fi,llama4-scout,commonsense,fi,500,465,0.93,289.39,282.0,101.34,165.9,420.7,500.85,211.46,1.538,1.194,2.739,978.4,2.433,0,0.0,0.00012165,0.00013081
